#Frame      Mode1    Mode2
     871  -10.467   -2.663
     872  -10.352   -2.928
     873  -10.834   -3.890
     874  -10.050   -3.966
     875  -10.054   -3.782
     876  -10.244   -4.224
     877  -10.562   -3.931
     878  -10.476   -3.086
     879  -10.635   -2.767
     880  -10.397   -2.676
     881  -10.767   -2.933
     882  -10.842   -2.530
     883  -10.705   -1.794
     884  -11.209   -3.392
     885  -10.916   -3.237
     886  -10.570   -4.863
     887  -11.081   -4.176
     888  -11.552   -3.184
     889  -10.689   -2.574
     890  -11.170   -3.140
     891  -11.625   -2.721
     892  -12.001   -1.445
     893  -11.809   -1.529
     894  -11.593   -2.900
     895  -12.591   -2.205
     896  -12.881   -1.233
     897  -12.294   -3.131
     898  -11.924   -3.568
     899  -11.518   -2.778
     900  -12.299   -2.738
     901  -11.542   -2.548
     902  -11.504   -2.054
     903  -11.339   -3.424
     904  -11.292   -2.933
     905  -12.607   -1.685
     906  -12.568   -2.706
     907  -12.010   -2.349
     908  -11.983   -2.252
     909  -12.236   -2.806
     910  -12.424   -3.161
     911  -12.265   -4.167
     912  -11.929   -3.502
     913  -12.454   -4.242
     914  -11.760   -3.843
     915  -12.204   -3.776
     916  -12.456   -3.903
     917  -12.399   -4.637
     918  -12.060   -3.597
     919  -12.587   -3.685
     920  -11.608   -3.640
     921  -13.007   -3.731
     922  -13.126   -4.171
     923  -12.582   -4.912
     924  -12.370   -5.166
     925  -13.357   -3.734
     926  -12.456   -3.717
     927  -13.465   -2.596
     928  -13.161   -3.476
     929  -13.015   -2.742
     930  -13.452   -3.655
     931  -12.161   -3.676
     932  -11.869   -5.062
     933  -11.267   -3.973
     934  -12.150   -4.378
     935  -11.997   -4.653
     936  -12.657   -3.348
     937  -12.668   -3.704
     938  -12.411   -4.160
     939  -12.339   -4.334
     940  -12.731   -4.214
     941  -12.418   -5.705
     942  -12.927   -4.201
     943  -12.809   -2.699
     944  -12.695   -3.558
     945  -12.352   -3.945
     946  -12.041   -4.152
     947  -11.559   -3.258
     948  -12.083   -3.591
     949  -12.939   -3.568
     950  -12.008   -3.836
     951  -12.216   -4.105
     952  -12.047   -5.084
     953  -12.100   -2.961
     954  -12.837   -4.573
     955  -12.058   -5.273
     956  -12.167   -5.571
     957  -11.657   -6.077
     958  -11.428   -5.984
     959  -11.053   -5.364
     960  -11.343   -4.341
     961  -11.780   -3.395
     962  -11.673   -3.761
     963  -11.842   -5.016
     964  -11.185   -4.888
     965  -11.395   -5.339
     966  -11.680   -5.477
     967  -12.359   -4.580
